window_size,pipe_distance,run_number,max_score_achieved,total_generations,completed,generations_to_10,generations_to_20,generations_to_50,generations_to_100,generations_to_200
350,300,1,248,5,True,1,1,3,4,5
350,400,1,186,50,False,2,2,2,2,N/A
350,500,1,149,50,False,1,1,1,1,N/A
350,600,1,124,50,False,2,2,2,2,N/A
350,700,1,107,50,False,1,1,1,2,N/A
