window_size,pipe_distance,run_number,max_score_achieved,total_generations,completed,generations_to_10,generations_to_20,generations_to_50,generations_to_100,generations_to_200
200,300,1,65,50,False,2,2,7,N/A,N/A
200,400,1,186,50,False,2,3,3,3,N/A
200,500,1,149,50,False,2,3,4,5,N/A
200,600,1,124,50,False,2,2,3,3,N/A
200,700,1,107,50,False,4,4,4,4,N/A
